W207707685, 金门县 女性
X239111460, 澎湖县 女性
J126513341, 新竹县 男性
I262551610, 嘉义县 女性
P215358689, 云林县 女性
M237656566, 南投县 女性
Z136805822, 连江县 男性
N190763912, 彰化县 男性
Z276895197, 连江县 女性
N252299513, 彰化县 女性
L127657316, 台中县 男性
H163431781, 桃园县 男性
H268557568, 桃园县 女性
F280967600, 台北县 女性
S105356003, 高雄县 男性
Z186124023, 连江县 男性
L205324918, 台中县 女性
N160759099, 彰化县 男性
U217643275, 花莲县 女性
J212601134, 新竹县 女性
M159175488, 南投县 男性
I186128568, 嘉义县 男性
S172619255, 高雄县 男性
Y148908121, 阳明山 男性
M268768260, 南投县 女性
D189329531, 台南市 男性
R199695605, 台南县 男性
V207275015, 台东县 女性
O266001952, 新竹市 女性
K198035299, 苗栗县 男性
L238888123, 台中县 女性
U168204882, 花莲县 男性
Y187340172, 阳明山 男性
P105096536, 云林县 男性
I178624462, 嘉义县 男性
I184229580, 嘉义县 男性
U225212533, 花莲县 女性
Y297240350, 阳明山 女性
E209450174, 高雄市 女性
V193435261, 台东县 男性
B136133983, 台中市 男性
Z176337241, 连江县 男性
H208239585, 桃园县 女性
T103603153, 屏东县 男性
A117881963, 台北市 男性
O178405093, 新竹市 男性
O286706332, 新竹市 女性
H206557946, 桃园县 女性
K113034225, 苗栗县 男性
C188873904, 基隆市 男性
G130253034, 宜兰县 男性
X110003889, 澎湖县 男性
V252019263, 台东县 女性
G286721850, 宜兰县 女性
O299891742, 新竹市 女性
R190940207, 台南县 男性
R153362267, 台南县 男性
W183772973, 金门县 男性
B249289709, 台中市 女性
E206274547, 高雄市 女性
B188279647, 台中市 男性
O144387451, 新竹市 男性
Q119525587, 嘉义县 男性
C260781307, 基隆市 女性
L215157081, 台中县 女性
L290051891, 台中县 女性
U158505836, 花莲县 男性
T264592631, 屏东县 女性
A103462601, 台北市 男性
B159129290, 台中市 男性
J187873693, 新竹县 男性
U181127851, 花莲县 男性
I111599771, 嘉义县 男性
X217128863, 澎湖县 女性
W270502263, 金门县 女性
G109948606, 宜兰县 男性
Z154152940, 连江县 男性
D204708656, 台南市 女性
S258392704, 高雄县 女性
F298375205, 台北县 女性
A240247633, 台北市 女性
V231180954, 台东县 女性
C184903634, 基隆市 男性
G169822150, 宜兰县 男性
X286517732, 澎湖县 女性
W156047227, 金门县 男性
F207648891, 台北县 女性
V286064978, 台东县 女性
O228389644, 新竹市 女性
A294045078, 台北市 女性
K224723922, 苗栗县 女性
E180500808, 高雄市 男性
J210006202, 新竹县 女性
E195431534, 高雄市 男性
