S182196029, 身份证字号错误
R129916138, 身份证字号错误
252017490, 格式不符
198603071, 格式不符
R109448327, 身份证字号错误
372901281, 格式不符
280431682, 格式不符
120839492, 格式不符
104532790, 格式不符
D25332892, 格式不符
144850528, 格式不符
281551357, 格式不符
X303449037, 格式不符
D385701395, 格式不符
131709174, 格式不符
133451314, 格式不符
196284402, 格式不符
283748885, 格式不符
M149287046, 身份证字号错误
L320360545, 格式不符
E173453811, 身份证字号错误
Y149687776, 身份证字号错误
124936139, 格式不符
132295879, 格式不符
219152611, 格式不符
210908330, 格式不符
P330695065, 格式不符
H45137507, 格式不符
98321300, 格式不符
I146421324, 身份证字号错误
M341354644, 格式不符
D373839786, 格式不符
129051287, 格式不符
207307694, 格式不符
176271009, 格式不符
282202987, 格式不符
371159896, 格式不符
Z179012900, 身份证字号错误
150489372, 格式不符
169336108, 格式不符
J197159286, 身份证字号错误
V323083606, 格式不符
194814246, 格式不符
243511199, 格式不符
194220377, 格式不符
V182614542, 身份证字号错误
220569580, 格式不符
208419021, 格式不符
269239998, 格式不符
151157620, 格式不符
J270719129, 身份证字号错误
158580182, 格式不符
M329133214, 格式不符
O310103496, 格式不符
K262945186, 身份证字号错误
239121579, 格式不符
293278152, 格式不符
128856321, 格式不符
C156967491, 身份证字号错误
H127479200, 身份证字号错误
S255889500, 身份证字号错误
167952458, 格式不符
P326050327, 格式不符
M20147907, 格式不符
H319675962, 格式不符
119453589, 格式不符
295187624, 格式不符
238092897, 格式不符
156495919, 格式不符
130504677, 格式不符
244751869, 格式不符
340877712, 格式不符
125402257, 格式不符
235465115, 格式不符
J183444182, 身份证字号错误
T284796711, 身份证字号错误
Q338748402, 格式不符
H242513261, 身份证字号错误
205054464, 格式不符
O361524899, 格式不符
O197175486, 身份证字号错误
286776007, 格式不符
E355821985, 格式不符
A231051976, 身份证字号错误
264662303, 格式不符
157025944, 格式不符
162069110, 格式不符
P385517705, 格式不符
D335241441, 格式不符
K121064155, 身份证字号错误
285410861, 格式不符
78076192, 格式不符
P395504174, 格式不符
214187722, 格式不符
G324975781, 格式不符
G303468361, 格式不符
T301790977, 格式不符
257974208, 格式不符
197389153, 格式不符
272022967, 格式不符
205658463, 格式不符
F347287949, 格式不符
176901840, 格式不符
T363673609, 格式不符
147059206, 格式不符
A391963488, 格式不符
C288126250, 身份证字号错误
179082155, 格式不符
107379753, 格式不符
N267871722, 身份证字号错误
215375937, 格式不符
286758697, 格式不符
387656914, 格式不符
X252563530, 身份证字号错误
250121132, 格式不符
204115103, 格式不符
B228636453, 身份证字号错误
F136432880, 身份证字号错误
K146120564, 身份证字号错误
280152876, 格式不符
J34647016, 格式不符
L302271588, 格式不符
128353229, 格式不符
E343211208, 格式不符
138445733, 格式不符
285576267, 格式不符
178112981, 格式不符
W80770137, 格式不符
169284788, 格式不符
S136711320, 身份证字号错误
255276455, 格式不符
J293368026, 身份证字号错误
260535640, 格式不符
120525072, 格式不符
205248094, 格式不符
214576996, 格式不符
153030312, 格式不符
F312650509, 格式不符
F378085424, 格式不符
231687208, 格式不符
215960176, 格式不符
M238619222, 身份证字号错误
107743241, 格式不符
V203700281, 身份证字号错误
R312569608, 格式不符
H387692282, 格式不符
P356569821, 格式不符
46215203, 格式不符
167708243, 格式不符
224773448, 格式不符
278786088, 格式不符
189747160, 格式不符
L348700211, 格式不符
143326141, 格式不符
214090187, 格式不符
252616756, 格式不符
N309420771, 格式不符
M136235664, 身份证字号错误
N287293443, 身份证字号错误
191869897, 格式不符
I208312731, 身份证字号错误
175429426, 格式不符
351566775, 格式不符
X324776251, 格式不符
D105595198, 身份证字号错误
194305449, 格式不符
H256947921, 身份证字号错误
159714297, 格式不符
203284746, 格式不符
344486898, 格式不符
155435478, 格式不符
X395791657, 格式不符
Q304360172, 格式不符
N394528170, 格式不符
211473740, 格式不符
197225339, 格式不符
P110207633, 身份证字号错误
218278216, 格式不符
Q209998974, 身份证字号错误
J119271728, 身份证字号错误
S109802932, 身份证字号错误
360222335, 格式不符
243848822, 格式不符
S219869071, 身份证字号错误
I387984204, 格式不符
136569053, 格式不符
324724180, 格式不符
F356120568, 格式不符
149461652, 格式不符
